"Period","City_Province","Retail_Sales","Population","Population_Male","Population_Female","Population_15_29","Population_30_59","Population_60_Plus","Population_below_15","Unemployment_Rate_15_29","Unemployment_Rate_30_59","Unemployment_Rate_60_Plus","Number_of_Households","Household_Size","Retail_Sales_Per_Household"
"2020.07","Jeollanam-do","63577","1853339.0","931280.0","922059.0","290679","766152","582216","214292","6.7","1.3","1.1","884043.0","2.0964353543888703","0.07191618507244557"
"2020.07","Sejong","35437","346217.0","172660.0","173557.0","54041","171064","50683","70429","7.2","2.1","1.8","138720.0","2.495797289504037","0.2554570357554787"
"2020.07","Seoul","1487521","9715429.0","4728872.0","4986557.0","1891982","4570840","2238915","1013692","8.3","2.8","4.0","4391545.0","2.2123031871471204","0.3387238432032462"
"2020.07","Ulsan","119414","1141362.0","586533.0","554829.0","204576","555163","224941","156682","11.1","2.4","2.7","473640.0","2.409766911578414","0.25211975339920617"
"2020.08","Busan","459094","3401072.0","1666462.0","1734610.0","578904","1512509","943588","366071","10.6","3.2","2.0","1520321.0","2.2370749335173294","0.30197175464918263"
"2020.08","Chungcheongbuk-do","87744","1598162.0","810023.0","788139.0","276557","712359","411528","197718","8.0","1.9","2.8","736095.0","2.1711355191924957","0.11920200517596234"
"2020.08","Chungcheongnam-do","135793","2120519.0","1081807.0","1038712.0","345799","940633","557445","276642","7.9","2.5","1.1","975474.0","2.1738344640656746","0.13920719568127904"
"2020.08","Daegu","326302","2428228.0","1198662.0","1229566.0","446115","1113542","580309","288262","7.9","3.0","1.9","1050852.0","2.3107231084872084","0.3105118513358684"
"2020.08","Daejeon","163968","1469431.0","733547.0","735884.0","291606","678883","311780","187162","8.8","3.3","1.6","647818.0","2.2682775100414005","0.25310812604774796"
"2020.08","Gangwon-do","88578","1540689.0","775113.0","765576.0","253773","661652","453670","171594","8.7","2.3","1.8","730504.0","2.109076747013021","0.12125600954957126"
"2020.08","Gwangju","131054","1454154.0","719601.0","734553.0","293609","665380","298197","196968","8.2","2.4","3.3","629054.0","2.3116520998197294","0.20833505549603054"
"2020.08","Gyeonggi-do","1298878","13370714.0","6727226.0","6643488.0","2482281","6433384","2641469","1813580","8.6","2.9","2.8","5605611.0","2.385237577134767","0.23171033452017986"
